EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 17-07-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 SD   : Snow depth in 1 cm
30-34 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GRAZ-UNIVERSITAET, AUSTRIA (STAID: 12)
Blended and updated with sources:32849 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   SD, Q_SD
    12, 32849,20050611,    0,    0
    12, 32849,20050612,    0,    0
    12, 32849,20050613,    0,    0
    12, 32849,20050614,    0,    0
    12, 32849,20050615,    0,    0
    12, 32849,20050616,    0,    0
    12, 32849,20050617,    0,    0
    12, 32849,20050618,    0,    0
    12, 32849,20050619,    0,    0
    12, 32849,20050620,    0,    0
    12, 32849,20050621,    0,    0
    12, 32849,20050622,    0,    0
    12, 32849,20050623,    0,    0
    12, 32849,20050624,    0,    0
    12, 32849,20050625,    0,    0
    12, 32849,20050626,    0,    0
    12, 32849,20050627,    0,    0
    12, 32849,20050628,    0,    0
    12, 32849,20050629,    0,    0
    12, 32849,20050630,    0,    0
    12, 32849,20050701,    0,    0
    12, 32849,20050702,    0,    0
    12, 32849,20050703,    0,    0
    12, 32849,20050704,    0,    0
    12, 32849,20050705,    0,    0
    12, 32849,20050706,    0,    0
    12, 32849,20050707,    0,    0
    12, 32849,20050708,    0,    0
    12, 32849,20050709,    0,    0
    12, 32849,20050710,    0,    0
    12, 32849,20050711,    0,    0
    12, 32849,20050712,    0,    0
    12, 32849,20050713,    0,    0
    12, 32849,20050714,    0,    0
    12, 32849,20050715,    0,    0
    12, 32849,20050716,    0,    0
    12, 32849,20050717,    0,    0
    12, 32849,20050718,    0,    0
    12, 32849,20050719,    0,    0
    12, 32849,20050720,    0,    0
    12, 32849,20050721,    0,    0
    12, 32849,20050722,    0,    0
    12, 32849,20050723,    0,    0
    12, 32849,20050724,    0,    0
    12, 32849,20050725,    0,    0
    12, 32849,20050726,    0,    0
    12, 32849,20050727,    0,    0
    12, 32849,20050728,    0,    0
    12, 32849,20050729,    0,    0
    12, 32849,20050730,    0,    0
    12, 32849,20050731,    0,    0
    12, 32849,20050801,    0,    0
    12, 32849,20050802,    0,    0
    12, 32849,20050803,    0,    0
    12, 32849,20050804,    0,    0
    12, 32849,20050805,    0,    0
    12, 32849,20050806,    0,    0
    12, 32849,20050807,    0,    0
    12, 32849,20050808,    0,    0
    12, 32849,20050809,    0,    0
    12, 32849,20050810,    0,    0
    12, 32849,20050811,    0,    0
    12, 32849,20050812,    0,    0
    12, 32849,20050813,    0,    0
    12, 32849,20050814,    0,    0
    12, 32849,20050815,    0,    0
    12, 32849,20050816,    0,    0
    12, 32849,20050817,    0,    0
    12, 32849,20050818,    0,    0
    12, 32849,20050819,    0,    0
    12, 32849,20050820,    0,    0
    12, 32849,20050821,    0,    0
    12, 32849,20050822,    0,    0
    12, 32849,20050823,    0,    0
    12, 32849,20050824,    0,    0
    12, 32849,20050825,    0,    0
    12, 32849,20050826,    0,    0
    12, 32849,20050827,    0,    0
    12, 32849,20050828,    0,    0
    12, 32849,20050829,    0,    0
    12, 32849,20050830,    0,    0
    12, 32849,20050831,    0,    0
    12, 32849,20050901,    0,    0
    12, 32849,20050902,    0,    0
    12, 32849,20050903,    0,    0
    12, 32849,20050904,    0,    0
    12, 32849,20050905,    0,    0
    12, 32849,20050906,    0,    0
    12, 32849,20050907,    0,    0
    12, 32849,20050908,    0,    0
    12, 32849,20050909,    0,    0
    12, 32849,20050910,    0,    0
    12, 32849,20050911,    0,    0
    12, 32849,20050912,    0,    0
    12, 32849,20050913,    0,    0
    12, 32849,20050914,    0,    0
    12, 32849,20050915,    0,    0
    12, 32849,20050916,    0,    0
    12, 32849,20050917,    0,    0
    12, 32849,20050918,    0,    0
    12, 32849,20050919,    0,    0
    12, 32849,20050920,    0,    0
    12, 32849,20050921,    0,    0
    12, 32849,20050922,    0,    0
    12, 32849,20050923,    0,    0
    12, 32849,20050924,    0,    0
    12, 32849,20050925,    0,    0
    12, 32849,20050926,    0,    0
    12, 32849,20050927,    0,    0
    12, 32849,20050928,    0,    0
    12, 32849,20050929,    0,    0
    12, 32849,20050930,    0,    0
    12, 32849,20051001,    0,    0
    12, 32849,20051002,    0,    0
    12, 32849,20051003,    0,    0
    12, 32849,20051004,    0,    0
    12, 32849,20051005,    0,    0
    12, 32849,20051006,    0,    0
    12, 32849,20051007,    0,    0
    12, 32849,20051008,    0,    0
    12, 32849,20051009,    0,    0
    12, 32849,20051010,    0,    0
    12, 32849,20051011,    0,    0
    12, 32849,20051012,    0,    0
    12, 32849,20051013,    0,    0
    12, 32849,20051014,    0,    0
    12, 32849,20051015,    0,    0
    12, 32849,20051016,    0,    0
    12, 32849,20051017,    0,    0
    12, 32849,20051018,    0,    0
    12, 32849,20051019,    0,    0
    12, 32849,20051020,    0,    0
    12, 32849,20051021,    0,    0
    12, 32849,20051022,    0,    0
    12, 32849,20051023,    0,    0
    12, 32849,20051024,    0,    0
    12, 32849,20051025,    0,    0
    12, 32849,20051026,    0,    0
    12, 32849,20051027,    0,    0
    12, 32849,20051028,    0,    0
    12, 32849,20051029,    0,    0
    12, 32849,20051030,    0,    0
    12, 32849,20051031,    0,    0
    12, 32849,20051101,    0,    0
    12, 32849,20051102,    0,    0
    12, 32849,20051103,    0,    0
    12, 32849,20051104,    0,    0
    12, 32849,20051105,    0,    0
    12, 32849,20051106,    0,    0
    12, 32849,20051107,    0,    0
    12, 32849,20051108,    0,    0
    12, 32849,20051109,    0,    0
    12, 32849,20051110,    0,    0
    12, 32849,20051111,    0,    0
    12, 32849,20051112,    0,    0
    12, 32849,20051113,    0,    0
    12, 32849,20051114,    0,    0
    12, 32849,20051115,    0,    0
    12, 32849,20051116,    0,    0
    12, 32849,20051117,    0,    0
    12, 32849,20051118,    0,    0
    12, 32849,20051119,    0,    0
    12, 32849,20051120,    0,    0
    12, 32849,20051121,    0,    0
    12, 32849,20051122,    0,    0
    12, 32849,20051123,    1,    0
    12, 32849,20051124,    3,    0
    12, 32849,20051125,    3,    0
    12, 32849,20051126,   13,    0
    12, 32849,20051127,   12,    0
    12, 32849,20051128,    9,    0
    12, 32849,20051129,    7,    0
    12, 32849,20051130,    5,    0
